"He wrote the script in cooperation with Bianca Olsen, Laurie Aubanel and Cyril Rambour."	"In collaboration with Bianca Olsen, Laurie Aubanel and Cyril Rambour, he wrote the script."			
"Enrique Ponce (born December 8, 1971 in Chiva, Valencia, Spain), also known as Alfonso Enrique Ponce Martínez, is a famous Spanish bullfighter."	"Enrique Ponce (born 8 December 1971 in Chiva, Valencia, Spain), also known as Alfonso Enrique Ponce Martínez, is a famous Spanish bullfighter."			
"Enrique Ponce (born December 8, 1971 in Chiva, Valencia, Spain), also known as Alfonso Enrique Ponce Martínez, is a famous Spanish bullfighter."	"Enrique Ponce (born December 8, 1971 in Chiva, Valencia, Spain) is also known as Alfonso Enrique Ponce Martínez, a famous Spanish bullfighter."			
"Many people who admit to being frequent tanners say they tan to look good, feel good, and to relax."	"Many people who admit to being frequent tanners say they tan to look good, feel good and relax."			
"Many people who admit to being frequent tanners say they tan to look good, feel good, and to relax."	"Many people who admit to being common tanners say that they tan to look good, to feel good and relax."			
"Many people who admit to being frequent tanners say they tan to feel good, look good, and to relax."	"Many people who admit to being common tanners say that they tan to feel good, to look good and relax."			
The SSSI has an area of 190.3 hectares while the SAC covers 168.3 hectares.	"The SSSI has an area of 190.3 hectares, while the SAC comprises 168.3 hectares."			
The SSSI has an area of 190.3 hectares while the SAC covers 168.3 hectares.	"The SSSI has an area of 190.3 ha, while the SAC covers 168.3 hectares."			
The SSSI covers an area of 190.3 hectares while the SAC has 168.3 hectares.	"The SSSI covers an area of 190,3 hectares, while the SAC has 168.3 hectares."			
The SSSI covers an area of 190.3 hectares while the SAC has 168.3 hectares.	"The SSSI has an area of 190.3 hectares, while the SAC has 168.3 hectares."			
"The term can apply to people of any race or religion, such as Arabs, Berbers, Blacks or even Whites or Jews who originate from North Africa."	"The term can apply to people of any race or religion such as Arabs, Berbers, Blacks, or even whites or Jews from North Africa."			
Rod Lyne married Amanda Mary Smith in 1969.	"In 1969, Rod married Amanda Mary Smith."			
Amanda Mary Smith married Rod Lyne in 1969.	"In 1969, Amanda Mary Smith married Rod Lyne."			
Amanda Mary Smith married Rod Lyne in 1969.	"In 1969, Amanda married Rod Lyne, Mary Smith."			
"Original members of the NYL include: Fresno, Roosevelt, Merced, Visalia, Madera, Hanford and Edison."	"Original members of the NYL are: Fresno, Roosevelt, Merced, Visalia, Madera, Hanford and Edison."			
"Original members of the NYL include: Hanford, Roosevelt, Merced, Visalia, Madera, Fresno and Edison."	"Original members of NYL include: Hanford, Roosevelt, Merced, Visalia, Madera, Fresno and Edison."			
"Barbara Rogowska, known as Barbara Kwarc (born June 19, 1953) is a Polish comedian actress, comic and celebrity."	"Barbara Rogowska, better known as Barbara Kwarc (born June 19, 1953), is a Polish actress, comic book and celebrity."			
"Barbara Rogowska, known as Barbara Kwarc (born June 19, 1953) is a Polish comedian actress, comic and celebrity."	"Barbara Rogowska, known as Barbara Kwarc (born June 19, 1953) is a Polish actress, comedian and celebrity."			
"In November and December 2015, with the weakening in the Canadian dollar, manufacturing sales and exports increased and employment rose."	"With the weakening of the Canadian dollar, manufacturing sales and exports rose in November and December 2015, and employment increased."			
"In November and December 2015, with the weakening in the Canadian dollar, manufacturing sales and exports increased and employment rose."	"With the weakening of the Canadian dollar, manufacturing sales and exports and employment increased in November and December 2015."			
"In November and December 2015, with the weakening in the Canadian dollar, manufacturing sales and exports rose and employment increased."	"With the weakening of the Canadian dollar, manufacturing sales and exports rose in November and December 2015, and employment increased."			
"In November and December 2015, with the weakening in the Canadian dollar, manufacturing sales and exports rose and employment increased."	"With the weakening of the Canadian dollar, manufacturing sales and exports increased in November and December 2015, and employment rose."			
"Some important committees include the Finance Committee, the Ritual Committee, and the Social Action Committee."	"Some important committees sign the Finance Committee, the Ritual Committee and the Social Action Committee."			
"The Berhala Island is a small forested island situated in Sandakan Bay in Sandakan, Sabah, Malaysia."	"The Berhala Island is a small forested island in the Sandakan Bay in Sandakan, Sabah, Malaysia."			
"Belize High School is a secondary school, high school in Belize City, Belize."	"Belize High School is a high school school in Belize City, Belize."			
"Belize High School is a high school, secondary school in Belize City, Belize."	"Belize High School is a high school in Belize City, Belize, Secondary School."			
"Belize High School is a high school, secondary school in Belize City, Belize."	"Belize High School is a secondary high school in Belize City, Belize."			
"Various authors explored the Soweto riots in novels, including Miriam Tlali, Mothobi Mutloatse and Mbulelo Mzamane."	"Various authors explored the Soweto uprisings in novels, including Miriam Tlali, Mothobi Mutloatse, and Mbulelo Mzamane."			
"Various authors explored the Soweto riots in novels, including Mbulelo Mzamane, Mothobi Mutloatse and Miriam Tlali."	"Various authors explored the Soweto uprisings in novels, including Mbulelo Mzamane, Mothobi Mutloatse, and Miriam Tlali."			
"She has been a Senior Policy Advisor and National Spokesperson with the 2008 John McCain presidential campaign and political commentator on Fox News, CNN and MSNBC."	"She was a senior policy adviser and national spokesperson with the 2008 John McCain presidential campaign and political commentator on Fox News, CNN, and MSNBC."			
"In September 1798, Dorothy, Coleridge, and Wordsworth travelled to Germany to explore proximate living arrangements, but this proved difficult."	"In September 1798, Dorothy, Coleridge and Wordsworth travelled to Germany to explore nearby arrangements, but this proved difficult."			
"According to the United States Census Bureau, Ardmore has a total area of, of which is land and, or 3.67%, is water."	"According to the United States Census Bureau, Ardmore has a total area of which land and, or 3.67%, is water."			
"According to the United States Census Bureau, Ardmore is a total area, of which is land and, or 3.67%, has water."	"According to the United States Census Bureau, Ardmore is a total surface area of which is land and, or 3.67%, has water."			
"According to the United States Census Bureau, Ardmore is a total area, of which is land and, or 3.67%, has water."	"According to the United States Census Bureau, Ardmore is a total area of which land is and, or 3.67%, has water."			
"Hudson was born in Houston, Texas. He attended Worthing High School in Houston, and played high school football for the Worthing Colts."	"He was born in Houston, Texas, attended the Worthing High School in Houston and played High School Football at the Worthing Colts."			
"Hudson was born in Houston, Texas. He attended Worthing High School in Houston, and played high school football for the Worthing Colts."	"He was born in Houston, Texas, visited the Worthing High School in Houston and played high school football for the Worthing Colts."			
"Hudson was born in Houston. He attended Worthing High School in Houston, Texas, and played high school football for the Worthing Colts."	"Hudson was born in Houston, attended the Worthing High School in Houston, Texas and played high school football for the Worthing Colts."			
"Hudson was born in Houston. He attended Worthing High School in Houston, Texas, and played high school football for the Worthing Colts."	"He was born in Houston, visited the Worthing High School in Houston, Texas and played high school football for the Worthing Colts."			
"Kathy Williams, Kathryn or Katherine may refer to:"	"Kathy Williams, Kathryn or Katherine refer to:"			
"Critics, however, claimed that Pershing commanded from far behind the lines and was critical of commanders who personally led troops into battle."	"Critics, however, claimed that Pershing was commanded by far behind the lines and critical of commanders who personally led troops to battle."			
"Critics, however, claimed that Pershing commanded from far behind the lines and was critical of commanders who personally led troops into battle."	"Critics, however, claimed that Pershing was commanded by far behind the lines and critical of commanders who personally led troops into struggle."			
"Critics, however, claimed that Pershing led from far behind the lines and was critical of commanders who personally commanded troops into battle."	"Critics, however, claimed that Pershing was leading from far behind the lines and was critical of commanders who personally commanded troops into the battle."			
"Productions of the show require minimal set and a small cast of 6 actors, as well as a solo violinist who is present on stage throughout the performance."	"Productions of the show require minimal set and a small cast of 6 actors, as well as a solo violinist who is present on stage throughout the show."			
"Productions of the show require small set and a minimal cast of 6 actors, as well as a solo violinist who is present on stage throughout the performance."	"Productions of the show require a small set and a minimal cast of 6 actors, as well as a solo violinist, who is present on stage throughout the performance."			
"Femi's musical career started when he began playing in his father's band, Egypt 80."	"Femi's musical career began when he started playing in his father's band, Egypt 80."			
"Femi's musical career started when he began playing in his father's band, Egypt 80."	"Femi's musical career began when he started playing in the band of his father, Egypt 80."			
"Femi's musical career began when he started playing in his father's band, Egypt 80."	"Femi's musical career began when he started playing in the band of his father, Egypt 80."			
"It conducted services between the following centres: Brisbane, Bundaberg, Gladstone, Rockhampton, Mackay, Townsville, Blackwater, Thangool, Coolangatta and Newcastle."	"It provided services between the following centres: Brisbane, Bundaberg, Gladstone, Rockhampton, Mackay, Townsville, Blackwater, Thangool, Coolangatta and Newcastle."			
"It conducted services between the following centres: Townsville, Bundaberg, Gladstone, Rockhampton, Mackay, Brisbane, Blackwater, Thangool, Coolangatta and Newcastle."	"It carried out services between the following centres: Townsville, Bundaberg, Gladstone, Rockhampton, Mackay, Brisbane, Blackwater, Thangool, Coolangatta and Newcastle."			
"In Sweden and in Mexico, he had to compose with a superior status compared to the other S2000 drivers and therefore had to sweep the roads for them."	He had to compose in Sweden and Mexico compared to the other S2000 drivers with superior status and therefore had to sweep the streets for them.			
"In Sweden and in Mexico, he had to compose with a superior status compared to the other S2000 drivers and therefore had to sweep the roads for them."	He had to compose in Sweden and Mexico compared to the other S2000 drivers with superior status and therefore had to sweep the roads for him.			
"In Mexico and in Sweden, he had to compose with a superior status compared to the other S2000 drivers and therefore had to sweep the roads for them."	He had to compose in Mexico and Sweden compared to the other S2000 drivers with superior status and therefore had to sweep the streets for them.			
"In Mexico and in Sweden, he had to compose with a superior status compared to the other S2000 drivers and therefore had to sweep the roads for them."	He had to compose in Mexico and Sweden compared to the other S2000 drivers with superior status and therefore had to sweep the roads for him.			
The line-up is mainly focused on alternative music and indie music.	The cast is focused mainly on alternative music and indie music.			
The line-up is mainly focused on indie music and alternative music.	The cast is focused mainly on indie - music and alternative music.			
"Johann Dominik Bossi (1767 -- 1853), also known as ""Domenico Bossi"", was an Italian painter."	"Johann Dominik Bossi (1767 -- 1853), also known as the Domenico Bossi "", was an Italian painter."			
"Domenico Bossi (1767 -- 1853), also known as ""Johann Dominik Bossi"", was an Italian painter."	"Domenico Bossi (1767 -- 1853), also known as"" John Dominik Bossi "", was an Italian painter."			
"It has been suggested that ""P. azurophilum"" represents more than one species with one species infecting red blood cells and the other infecting white blood cells."	"It has been suggested that ""P. azurophilum"" represents more than one species, with a species infecting red blood cells and the other infecting white blood cells."			
"It has been suggested that ""P. azurophilum"" represents more than one species with one species infecting white blood cells and the other infecting red blood cells."	"It was suggested that ""P. azurophilum"" represents more than one species, with a species infecting white blood cells and infecting the other red blood cells."			
"However, it was purchased by McVities and then acquired by Murdoch Allan and Sons."	"However, it was bought by McVities and then purchased by Murdoch Allan and Sons."			
"However, it was acquired by McVities and then purchased by Murdoch Allan and Sons."	"However, it was purchased by McVities and then bought by Murdoch Allan and Sons."			
"When Peugeot launched the stylish all-new 205 in 1983, the 104 was withdrawn from most European markets, including Britain."	"When Peugeot launched the stylish new 205 in 1983, the 104 was withdrawn from most European markets, including Britain."			
"When Peugeot launched the new all-stylish 205 in 1983, the 104 was withdrawn from most European markets, including Britain."	"When Peugeot launched the new Allstylish 205 in 1983, the 104 was withdrawn from most European markets, including Britain."			
"These include the Union of European Federalists, the European Movement International and the European Federalist Party."	"These include the Union of European Federalists, European Movement International and the European Federalist Party."			
"These include the Union of European Federalists, the European Movement International and the European Federalist Party."	"These include the Union of European Federalists, the International Movement and the European Federalist Party."			
"These include the Union of European Federalists, the European Federalist Party and the European Movement International."	"These include the Union of European Federalists, the European Federalist Party and the European International Movement."			
The second wave occurred in the 1970s mainly from East Africa especially due to Expulsion of Asians from Uganda.	"The second wave came in the 1970s, especially from East Africa, mainly due to the expulsion of Asians from Uganda."			
"The nearest domestic and defence airports are: Halwara, Adampur and Sahnewal."	"The next domestic and defence airports are: Halwara, Adampur and Sahnewal."			
Hennig is also Chairman referee of the region Duisburg -- Mülheim -- Dinslaken and lives in Duisburg.	Hennig is also president referee of the region Duisburg -- Mülheim -- Dinslaken and lives in Duisburg.			
Hennig is also Chairman referee of the region Duisburg -- Mülheim -- Dinslaken and lives in Duisburg.	Hennig is also president of the Duisburg -- Mülheim -- Dinslaken region and lives in Duisburg.			
Hennig is also Chairman referee of the region Dinslaken -- Mülheim -- Duisburg and lives in Duisburg.	Hennig is also president referee of the Dinslaken -- Mülheim -- Duisburg region and lives in Duisburg.			
"Presley was given a physical and assigned Army serial number 53310761, before being sworn in and made leader of his group."	Presley was given a physical and allocated army serial number 53310761 before being sworn and leader of his group was made.			
"SDUU currently has local branches in Stockholm, Göteborg, Halmstad, Kalmar, Skåne, Örebro, Umeå, Skellefteå and Piteå."	"SDUU currently has branches in Stockholm, Gothenburg, Halmstad, Kalmar, Skåne, Örebro, Umeå, Skellefteå and Piteå."			
"SDUU currently has local branches in Skåne, Örebro, Umeå, Halmstad, Kalmar, Stockholm, Göteborg, Skellefteå and Piteå."	"Currently, SDUU has branches in Skåne, Örebro, Umeå, Halmstad, Kalmar, Stockholm, Gothenburg, Skellefteå and Piteå."			
"It is native to much of eastern Asia, from India to Indonesia to Japan."	"It is native to much of East Asia, from India to Indonesia to Japan."			
"Typically, the warmest day of the year will reach, and 3.7 days a year should attain a maximum temperature of or above."	"Typically, the warmest day of the year is reached, and a maximum temperature of or above should reach 3.7 days a year."			
"Typically, the warmest day of the year will attain, and 3.7 days a year should reach a maximum temperature of or above."	"Typically, the warmest day of the year is reached, and a maximum temperature of or above should reach 3.7 days a year."			
"Like rest of the area in Central Luzon, there are two seasons in the area, the dry season and wet season."	"Like the rest of the area in Central Luzon there are two seasons in the area, the dry season and the rainy season."			
"Salopek Luke is a village in Karlovac County, under the Slunj township, in Croatia."	"Luke Salopek is a village in Karlovac County, under the municipality Slunj, in Croatia."			
"Trust in Me is a song written by Ned Wever, Milton Ager, and Jean Schwartz."	"Trust in Me is a song that was written by Ned Wever, Milton Ager and Jean Schwartz."			
"Trust in Me is a song written by Jean Schwartz, Milton Ager, and Ned Wever."	"Trust in Me is a song by Jean Schwartz, Milton Ager and Ned Wever written."			
"Trust in Me is a song written by Jean Schwartz, Milton Ager, and Ned Wever."	"Trust in Me is written in a song by Jean Schwartz, Milton Ager and Ned Wever."			
"In 2013 Nicholas Furiuele married Julia while Peter is married to Anna Barattin, both are members of the band Shantih Shantih."	"In 2013, Nicholas Furiuele married Julia while Peter was married to Anna Barattin, both of whom are members of the band Shantih Shantih."			
"In 2013 Nicholas Furiuele married Julia while Peter is married to Anna Barattin, both are members of the band Shantih Shantih."	"In 2013, Nicholas married Furiuele Julia, while Peter is married to Anna Barattin, both of whom are members of the band Shantih Shantih."			
"In 2013 Peter married Anna Barattin while Julia is married to Nicholas Furiuele, both are members of the band Shantih Shantih."	"Peter Anna Barattin married in 2013 while Julia was married to Nicholas Furiuele, both of whom are members of the band Shantih Shantih."			
"In 2013 Peter married Anna Barattin while Julia is married to Nicholas Furiuele, both are members of the band Shantih Shantih."	"Peter Anna married Barattin in 2013, while Julia was married to Nicholas Furiuele, both of whom are members of the band Shantih Shantih."			
"The area in which Crookston is located remained virtually unoccupied during pre-European contact and was little more than a hunting ground, associated with the Pembina settlements, until the 1860s."	The area where Crookston is located remained virtually unfilled during pre-European contact and until the 1860s was little more than a hunting ground associated with the Pembina settlements.			
"In 1974 Lao PDR established the Stage II fund with the help of the World Bank, the United Nations, and the Asian Development Bank."	"In 1974, with the support of the World Bank, the United Nations, and the Asian Development Bank, Lao PDR founded the Stage II Fund."			
"In 1974 Lao PDR established the Stage II fund with the help of the World Bank, the United Nations, and the Asian Development Bank."	"With the support of the World Bank, the United Nations, and the Asian Development Bank, Lao PDR founded the Stage II fund in 1974."			
"In 1974 Lao PDR established the Stage II fund with the help of the United Nations, the Asian Development Bank, and the World Bank."	"In 1974, with the support of the United Nations, the Asian Development Bank and the World Bank, Lao PDR founded the Stage II Fund."			
"In 1974 Lao PDR established the Stage II fund with the help of the United Nations, the Asian Development Bank, and the World Bank."	"With the support of the United Nations, the Asian Development Bank and the World Bank, Lao PDR founded the Stage II fund in 1974."			
A team of nearly 80 people worked on the title for about two years.	"For about two years, a team of nearly 80 employees worked on the title."			
"Some Hebrew and Aramaic abbreviations may not be included here; more may be found in the List of Hebrew abbreviations and the List of Aramaic abbreviations, respectively."	"Some Hebrew and Aramaic abbreviations may not be included here, and more can be found in the list of Hebrew abbreviations or in the list of Aramaic abbreviations."			
"Some Hebrew and Aramaic abbreviations may not be included here; more may be found in the List of Hebrew abbreviations and the List of Aramaic abbreviations, respectively."	"Some Hebrew and Aramaic abbreviations may not be included here, and others may be found in the list of Hebrew abbreviations or in the list of Aramaic abbreviations."			
"Some Hebrew and Aramaic abbreviations may not be included here; more may be found in the List of Aramaic abbreviations and the List of Hebrew abbreviations, respectively."	"Some Hebrew and Aramaic abbreviations may not be included here, and others may be found in the list of Aramaic abbreviations or the list of Hebrew abbreviations."			
"Some Hebrew and Aramaic abbreviations may not be included here; more may be found in the List of Aramaic abbreviations and the List of Hebrew abbreviations, respectively."	"Some Hebrew and Aramaic abbreviations may not be included here, and more can be found in the list of Aramaic abbreviations or in the list of Hebrew abbreviations."			
Alucita triscausta is a moth of the family Alucitidae. It is found in India (Assam).	"Alucita triscausta is a moth of the Alucitidae family, which is found in India (Assam)."			
"The municipality has a wet, a cold, and a dry season."	"The municipality has a wet, cold and a dry season."			
"It is a very blunt tubercle in the middle, has a slight reverted and has a very little furrow behind it."	"It is a very blunt tubercle in the middle, has a slight relapse and has a very little fury behind it."			
"Construction of Tama New Town started in 1966, and the first occupants began moving in 1971."	The construction of Tama New Town began in 1966 and the first inhabitants started moving in 1971.			
"He has three sons -- Owen, Lukas and Cole -- with his wife Karla, also of Regina."	"He has three sons - Owen, Lukas and Cole -- with his wife Karla, who is also of Regina."			
"He has three sons Cole, Lukas, Owen with his wife Karla and also of Regina."	"He has three sons Cole, Lukas, Owen and his wife Karla and also of Regina."			
"Staff members Rolo, Stacy, and Kelly sneak into the jungle to have sex."	"The Rolo, Stacy and Kelly staff sneak into the jungle to have sex."			
"Staff members Kelly, Stacy, and Rolo sneak into the jungle to have sex."	"Staff Kelly, Stacy and Rolo sneak into the jungle to have sex."			
Anton married Lesley Gray in September 1994.	Anton Lesley Gray was married in September 1994.			
Anton married Lesley Gray in September 1994.	"In September 1994, Anton Anton married Lesley Gray."			
Lesley Gray married Anton in September 1994.	"In September 1994, Anton Lesley married Gray Anton."			
Lesley Gray married Anton in September 1994.	"In September 1994, Anton married Lesley Gray Anton."			
"In 2004, Bessonova won the all-around silver medal at the 2004 European Championships."	Bessonova won the silver medal at the 2004 European Championships in 2004.			
"In 2004, Bessonova won the all-around silver medal at the 2004 European Championships."	In 2004 Bessonova won the Allround - Silver Medal at the European Championships 2004.			
"In 2004, Bessonova won the around-all silver medal at the 2004 European Championships."	"In 2004, Bessonova won the silver medal at the European Championships in 2004."			
"In 2004, Bessonova won the around-all silver medal at the 2004 European Championships."	"At the European Championships in 2004, Bessonova won the silver medal in 2004."			
"It often uses explicit personal pronouns in the literary language, but these are generally omitted in colloquial Estonian."	"It often uses explicit personal pronouns in literary language, but these are generally omitted in colloquial Estonian."			
"It often uses explicit personal pronouns in the literary language, but these are generally omitted in colloquial Estonian."	"It often uses explicit personal pronouns in literary language, but these are generally omitted from the colloquial Estonian language."			
Walter Hart (or Walter Lyhert; died 24 May 1472) was a medieval Bishop of Norwich.	"Walter Hart (or Walter Lyhert, died on 24 May 1472) was a medieval bishop of Norwich."			
Walter Hart (or Walter Lyhert; died 24 May 1472) was a medieval Bishop of Norwich.	"Walter Hart (or Walter Lyhert, died May 24, 1472) was a medieval bishop of Norwich."			
Walter Lyhert (or Walter Hart; died 24 May 1472) was a medieval Bishop of Norwich.	"Walter Lyhert (or Walter Hart, died May 24, 1472) was a medieval bishop of Norwich."			
Walter Lyhert (or Walter Hart; died 24 May 1472) was a medieval Bishop of Norwich.	Walter Lyhert (or Walter Hart; died on 24 May 1472) was a medieval bishop of Norwich.			
"Papanui is a former New Zealand parliamentary electorate. The electorate existed in the northern suburbs of the city of Christchurch, and was from 1969 to 1984."	Papanui is a former New Zealand parliamentary electorate which existed in the northern suburbs of the city of Christchurch and which was from 1969 to 1984.			
"Although neither Chandidas nor Maladhar Basu were Vaishnavas, they were to lay the foundation for much of the following Vaishnava poetry in Bengal."	"Although neither Chandidas nor Maladhar Basu Vaishnavas were, they should lay the foundation for much of the following Vaishnava poetry in Bengal."			
"Although neither Maladhar Basu nor Chandidas were Vaishnavas, they were to lay the foundation for much of the following Vaishnava poetry in Bengal."	"Although neither Maladhar Basu nor Chandidas were Vaishnavas, they should lay the foundation for much of the following Vaishnava poetry in Bengal."			
"The Webster Groves City Council consisted of council members Greg Mueller, Ken Burns, Kathy Hart, Debi Salberg, Toni Hunt, and Anne Tolan."	"Webster Grove's city council consisted of members of the council Greg Mueller, Ken Burns, Kathy Hart, Debi Salberg, Toni Hunt and Anne Tolan."			
"The Webster Groves City Council consisted of council members Greg Mueller, Ken Burns, Kathy Hart, Debi Salberg, Toni Hunt, and Anne Tolan."	"The Webster Groves City Council consisted of councillors Greg Mueller, Ken Burns, Kathy Hart, Debi Salberg, Toni Hunt and Anne Tolan."			
The FAA and the ICAO are working on a sonic boom standard to allow supersonic flights overland.	The FAA and the ICAO are working on a Sonic boom standard to allow supersonic flights over land.			
The FAA and the ICAO are working on a sonic boom standard to allow supersonic flights overland.	The FAA and ICAO are working on a Sonic Boom standard to enable supersonic flights overland.			
The tournament requires an import or a pure-foreign player for each team.	The tournament requires an import or player for each team.			
The tournament requires an import or a foreign-pure player for each team.	For each team the tournament requires an import or a foreign player.			
The tournament requires an import or a foreign-pure player for each team.	The tournament requires for each team an import or a foreign player.			
"Likewise, an individual's perception of self-worth is a fluctuating attitude that can rise and fall with changing components of the physical self."	"Likewise, the perception of self-worth as an individual is a fluctuating attitude that can rise and fall with changing components of the physical self."			
"Likewise, an individual's perception of self-worth is a changing attitude that can rise and fall with fluctuating components of the physical self."	"Likewise, the perception of an individual of self-worth is a changing attitude that can rise and fall with fluctuating components of physical self."			
Wismer married Margaret Rutherford.	Margaret Rutherford married Wismer.			
"Gintrowski's songs were based on texts by Jacek Kaczmarski, Zbigniew Herbert, Tomasz Jastrun, Krzysztof Maria Sieniawski, Jerzy Czech, Tadeusz Nowak and Marek Tercz."	"The songs by Gintrowski were based on texts by Jacek Kaczmarski, Zbigniew Herbert, Tomasz Jastrun, Krzysztof Maria Sieniawski, Jerzy Czech, Tadeusz Nowak and Marek Tercz."			
"2. To bring together those interested directly or indirectly in matters of accounting, to encourage the exchange of ideas, and to promote mutual assistance between members."	"2. To bring together those interested in accounting issues directly or indirectly, to promote the exchange of ideas and to promote mutual assistance between members."			
This marine genus occurs in the East China Sea and the South China Sea.	This marine genus comes in the East China Sea and the South China Sea.			
This marine genus occurs in the East China Sea and the South China Sea.	This marine species occurs in the East China Sea and the South China Sea.			
"She tries to resume her relationship with Michael, only to discover he has married Tracey Bregman (Lauren Fenmore)."	She tries to resume her relationship with Michael just to discover that he has married Tracey Bregman (Lauren Fenmore).			
"Grant holds multiple records in many categories for Utah, including several all-time records, such as:"	"Grant holds several records in many categories for Utah, including multiple all-time rows, such as:"			
"Grant holds multiple records in many categories for Utah, including several all-time records, such as:"	"Grant holds several rows in many categories for Utah, including multiple all-time records, such as:"			
"Grant holds multiple records in several categories for Utah, including many all-time records, such as:"	"Grant holds several records in multiple categories for Utah, including many all-time records, such as:"			
The small institutions they founded would not have seemed to them like universities -- they were tiny and did not offer the higher degrees in medicine and theology.	The small institutions that they founded would not have found them like universities -- they were tiny and did not offer higher degrees in medicine and theology.			
The tiny institutions they founded would not have seemed to them like universities -- they were small and did not offer the higher degrees in medicine and theology.	The tiny institutions they founded would not have appeared to them like universities -- they were small and did not offer the higher qualifications in medicine and theology.			
The tiny institutions they founded would not have seemed to them like universities -- they were small and did not offer the higher degrees in medicine and theology.	The tiny institutions they founded would not have found them like universities -- they were small and did not offer the higher degrees in medicine and theology.			
"Bunting died on September 19, 1891 in Gallatin, Tennessee. He received a Masonic funeral in Gallatin."	"He died on September 19, 1891 in Gallatin, Tennessee, and received a Masonic in Gallatin."			
"Bunting died on September 19, 1891 in Gallatin, Tennessee. He received a Masonic funeral in Gallatin."	"He died on 19 September 1891 in Gallatin, Tennessee, and received a Masonic in Gallatin."			
The video was shot in the city of MazatlÃ¡n and in Durango.	The video was shot in the city of Mazatlán and in Durango.			
Soul Sound received mixed to positive reviews from critics.	Soul Sound received mixed positive reviews from critics.			
He would then argue that the indispensable question would finally become:	He would then argue that the indispensable question would finally be:			
"During his campaign, he debated McCain twice, once in Tucson and once in Flagstaff."	"During his election campaign, he twice debated McCain, once in Tucson, and once in Flagstaff."			
"During his campaign, he debated McCain twice, once in Tucson and once in Flagstaff."	"During his election campaign, he debated McCain twice, once in Tucson, and once in Flagstaff."			
"During his campaign, he debated McCain twice, once in Flagstaff and once in Tucson."	"During his campaign, he debated McCain twice, once in the flagstaff, and once in Tucson."			
"During his campaign, he debated McCain twice, once in Flagstaff and once in Tucson."	"During his campaign, he twice debated McCain, once in Flagstaff and once in Tucson."			
"According to the United States Census Bureau, the township has a total area of, of which is land and, or 24.17%, is water."	"According to the United States Census Bureau, the community has a total area of which land and, or 24.17%, is water."			
"Based on the city of Baltimore, only mentioned, never visited in the show."	"Based on the city of Baltimore, only mentioned, has never visited in the show."			
"Based on the city of Baltimore, never visited, only mentioned in the show."	"Based on the city of Baltimore, never visited, mentioned only in the show."			
"Haptics is the study of touching as nonverbal communication, and haptic communication refers to how people and other animals communicate via touching."	"Haptics is the study of touching as nonverbal communication, and haptic communication refers to how people and other animals communicate about touching."			
"Sunny is the only returning member from Season 1, although Bora, Jiyoung and Hyoyeon were guests during the previous season."	"Sunny is the only returning member of Season 1, although Bora, Jiyoung and Hyoyeon were guests during the previous season."			
"Parent organizations include PTSA, Sports Boosters, Music Boosters, Drama Boosters, Art Boosters, the English Language Advisory Committee."	"Parental organizations include PTSA, sports boosters, music - boosters, drama - boosters, art boosters, the English Language Advisory Committee."			
"He participated at the 2008 Summer Olympics in Beijing, where the Danish team came seventh, and the 2012 Summer Olympics in London where the team placed 6th."	"He participated in the 2008 Summer Olympics in Beijing, where the Danish team became seventh, and at the 2012 Summer Olympics in London, where the team was 6th."			
"Republicans lost two seats, one to the Progressive Party and one to the Prohibition Party."	"The Republicans lost two seats, one to the Progressive Party and one to Prohibition."			
"Republicans lost two seats, one to the Prohibition Party and one to the Progressive Party."	"The Republicans lost two seats, one to the Prohibition Party and one to the Progressive Party."			
Charles Wilson Hursthouse married Ellen Humphries.	Charles Wilson Hursthouse married to Ellen Humphries.			
The new purpose built Keppel Gate section of A18 Snaefell Mountain Road was constructed in the period from 1864 to 1866.	The new purpose section Keppel Gate of the A18 Snaefell Mountain Road was built in the period 1864 to 1866.			
The new purpose built Keppel Gate section of A18 Snaefell Mountain Road was constructed in the period from 1864 to 1866.	The new Keppel Gate section of the A18 Snaefell Mountain Road was built in the period from 1864 to 1866.			
The album received mixed to positive reviews from most critics.	The album received mixed positive reviews from most critics.			
"Hopkins toured with the band for six months through England, the United States, and Japan."	"For six months Hopkins toured the band through England, the United States and Japan."			
"Hopkins toured with the band for six months through England, the United States, and Japan."	"For six months, Hopkins toured England, the United States and Japan with the band."			
"Hopkins toured with the band for six months through Japan, the United States, and England."	"Hopkins toured six months with the band through Japan, the United States and England."			
"Hopkins toured with the band for six months through Japan, the United States, and England."	"For six months, Hopkins toured the band through Japan, the United States and England."			
"In mathematics, an algebraic equation or polynomial equation is an equation of the form"	"In mathematics, an algebraic equation or polynomial equation is an equation of form."			
"In mathematics, an polynomial equation or algebraic equation is an equation of the form"	"In mathematics, a Polynomial equation or an algebraic equation is an equation of the"			
Taylor remained active in baseball as a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves until his death.	Taylor remained a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves in baseball until his death.			
Taylor remained active in baseball as a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves until his death.	Taylor remained active until his death as a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves in the baseball.			
